Sample description: 
Sample:   c= .6900 mg/ml  Code: P1_3_P1_Buffer
Parent(s): analysis/processed/subtracted/P1_3_P1_Buffer_0019_sub.dat
  1.222710e+00   9.385072e-04   3.710249e-04
  1.225470e+00   9.395362e-04   3.702930e-04
  1.228220e+00   1.500971e-03   3.686830e-04
  1.230970e+00   1.502942e-03   3.722071e-04
  1.233720e+00   1.199101e-03   3.681057e-04
  1.236480e+00   8.530000e-04   3.679265e-04
  1.239230e+00   1.309710e-03   3.706296e-04
  1.241980e+00   1.015913e-03   3.703890e-04
  1.244730e+00   3.472029e-04   3.704462e-04
  1.247490e+00   1.255232e-03   3.686154e-04
  1.250240e+00   1.086435e-03   3.686009e-04
  1.252990e+00   6.856522e-04   3.661083e-04
  1.255740e+00   1.516377e-03   3.697833e-04
  1.258500e+00   5.995072e-04   3.679186e-04
  1.261250e+00   1.016942e-03   3.668370e-04
  1.264000e+00   1.417029e-03   3.681962e-04
  1.266750e+00   3.893623e-04   3.681442e-04
  1.269510e+00   1.419043e-03   3.657351e-04
  1.272260e+00   1.067551e-03   3.654994e-04
  1.275010e+00   1.849232e-03   3.659890e-04
  1.277760e+00   9.909710e-04   3.668457e-04
  1.280520e+00   1.290130e-03   3.665629e-04
  1.283270e+00   6.783043e-04   3.621601e-04
  1.286020e+00   1.288942e-03   3.630632e-04
  1.288770e+00   9.651159e-04   3.635943e-04
  1.291530e+00   1.024768e-03   3.633709e-04
  1.294280e+00   1.360406e-03   3.633283e-04
  1.297030e+00   1.600942e-03   3.635246e-04
  1.299780e+00   4.242174e-04   3.612062e-04
  1.302540e+00   1.113304e-03   3.618703e-04
  1.305290e+00   6.786667e-04   3.628317e-04
  1.308040e+00   7.689710e-04   3.599167e-04
  1.310790e+00   4.162464e-04   3.610312e-04
  1.313550e+00   9.508406e-04   3.597152e-04
  1.316300e+00   1.116261e-03   3.597997e-04
  1.319050e+00   1.167072e-03   3.592142e-04
  1.321800e+00   1.207928e-03   3.579800e-04
  1.324560e+00   1.178000e-03   3.629501e-04
  1.327310e+00   7.089710e-04   3.591529e-04
  1.330060e+00   8.621304e-04   3.584309e-04
  1.332810e+00   1.267304e-03   3.572861e-04
  1.335570e+00   9.573623e-04   3.564007e-04
  1.338320e+00   1.130783e-03   3.590449e-04
  1.341070e+00   7.206957e-04   3.565452e-04
  1.343820e+00   1.588159e-03   3.564123e-04
  1.346580e+00   1.026304e-03   3.558039e-04
  1.349330e+00   8.623768e-04   3.557986e-04
  1.352080e+00   1.021623e-03   3.569696e-04
