  1.115360e+00   3.369986e-02   2.201812e-04
  1.118120e+00   3.462233e-02   2.218884e-04
  1.120870e+00   3.385689e-02   2.182641e-04
  1.123620e+00   3.440596e-02   2.211065e-04
  1.126370e+00   3.417457e-02   2.212705e-04
  1.129130e+00   3.433973e-02   2.214367e-04
  1.131880e+00   3.442001e-02   2.206100e-04
  1.134630e+00   3.404468e-02   2.171145e-04
  1.137380e+00   3.400274e-02   2.190906e-04
  1.140140e+00   3.448890e-02   2.202028e-04
  1.142890e+00   3.385970e-02   2.168718e-04
  1.145640e+00   3.425233e-02   2.182125e-04
  1.148390e+00   3.407696e-02   2.181783e-04
  1.151150e+00   3.420550e-02   2.177155e-04
  1.153900e+00   3.398046e-02   2.168240e-04
  1.156650e+00   3.395035e-02   2.148504e-04
  1.159400e+00   3.389205e-02   2.169722e-04
  1.162160e+00   3.419367e-02   2.172401e-04
  1.164910e+00   3.421832e-02   2.157785e-04
  1.167660e+00   3.382540e-02   2.143732e-04
  1.170410e+00   3.416500e-02   2.151089e-04
  1.173170e+00   3.388888e-02   2.158446e-04
  1.175920e+00   3.397758e-02   2.146834e-04
  1.178670e+00   3.416375e-02   2.147692e-04
  1.181420e+00   3.386933e-02   2.142604e-04
  1.184180e+00   3.433116e-02   2.143778e-04
  1.186930e+00   3.391581e-02   2.133244e-04
  1.189680e+00   3.376439e-02   2.127680e-04
  1.192430e+00   3.401157e-02   2.128057e-04
  1.195190e+00   3.404461e-02   2.128251e-04
  1.197940e+00   3.434149e-02   2.131825e-04
  1.200690e+00   3.400510e-02   2.118097e-04
  1.203440e+00   3.368393e-02   2.090684e-04
  1.206200e+00   3.385543e-02   2.102259e-04
  1.208950e+00   3.425418e-02   2.118623e-04
  1.211700e+00   3.415470e-02   2.113926e-04
  1.214450e+00   3.388915e-02   2.088469e-04
  1.217210e+00   3.398947e-02   2.093102e-04
  1.219960e+00   3.400564e-02   2.091245e-04
  1.222710e+00   3.411047e-02   2.095276e-04
  1.225470e+00   3.395249e-02   2.091182e-04
  1.228220e+00   3.406270e-02   2.086055e-04
  1.230970e+00   3.425440e-02   2.105946e-04
  1.233720e+00   3.401109e-02   2.080671e-04
  1.236480e+00   3.389753e-02   2.077226e-04
  1.239230e+00   3.422470e-02   2.095661e-04
  1.241980e+00   3.431295e-02   2.092181e-04
  1.244730e+00   3.369302e-02   2.087832e-04
  1.247490e+00   3.411685e-02   2.083907e-04
  1.250240e+00   3.417493e-02   2.082604e-04
  1.252990e+00   3.362467e-02   2.065786e-04
  1.255740e+00   3.426800e-02   2.092320e-04
  1.258500e+00   3.393695e-02   2.075359e-04
  1.261250e+00   3.417933e-02   2.072165e-04
  1.264000e+00   3.430028e-02   2.082638e-04
  1.266750e+00   3.397913e-02   2.075147e-04
  1.269510e+00   3.431266e-02   2.068723e-04
  1.272260e+00   3.401712e-02   2.064989e-04
  1.275010e+00   3.445895e-02   2.073139e-04
  1.277760e+00   3.422393e-02   2.072015e-04
  1.280520e+00   3.431399e-02   2.072498e-04
  1.283270e+00   3.369598e-02   2.043462e-04
  1.286020e+00   3.417232e-02   2.052740e-04
  1.288770e+00   3.390764e-02   2.053544e-04
  1.291530e+00   3.407285e-02   2.052661e-04
  1.294280e+00   3.426259e-02   2.054717e-04
