Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: P1_4_P1_Buffer
Parent(s): C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_4_P1_Buffer_0022.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_3_P1_Buffer_0019.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_2_P1_Buffer_0016.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_1_P1_Buffer_0013.dat
 7.713000e-001  4.134324e-003  2.292660e-004
 7.740520e-001  4.303728e-003  2.322261e-004
 7.768050e-001  3.845368e-003  2.290724e-004
 7.795570e-001  4.493574e-003  2.314507e-004
 7.823100e-001  3.982390e-003  2.291487e-004
 7.850620e-001  4.083816e-003  2.336643e-004
 7.878150e-001  4.124581e-003  2.386073e-004
 7.905670e-001  4.623949e-003  2.393844e-004
 7.933200e-001  3.839213e-003  2.404060e-004
 7.960720e-001  4.080750e-003  2.402984e-004
 7.988250e-001  4.156294e-003  2.414990e-004
 8.015770e-001  4.101007e-003  2.436260e-004
 8.043300e-001  4.138397e-003  2.425867e-004
 8.070820e-001  4.030456e-003  2.447533e-004
 8.098350e-001  4.191360e-003  2.451795e-004
 8.125870e-001  3.750897e-003  2.443517e-004
 8.153400e-001  3.980618e-003  2.461575e-004
 8.180920e-001  4.032140e-003  2.465169e-004
 8.208450e-001  4.157757e-003  2.489052e-004
 8.235970e-001  3.925978e-003  2.470396e-004
 8.263500e-001  4.084632e-003  2.495632e-004
 8.291030e-001  4.309471e-003  2.484976e-004
 8.318550e-001  4.156809e-003  2.473167e-004
 8.346080e-001  3.768162e-003  2.516573e-004
 8.373600e-001  3.817331e-003  2.500918e-004
 8.401130e-001  3.555662e-003  2.508742e-004
 8.428650e-001  3.653596e-003  2.473622e-004
 8.456180e-001  3.688721e-003  2.431701e-004
 8.483700e-001  3.650147e-003  2.422559e-004
 8.511230e-001  3.507397e-003  2.385718e-004
 8.538750e-001  3.115919e-003  2.369493e-004
 8.566280e-001  3.468647e-003  2.372301e-004
 8.593800e-001  3.738735e-003  2.354975e-004
 8.621330e-001  3.272059e-003  2.342982e-004
 8.648850e-001  3.479066e-003  2.328769e-004
 8.676380e-001  3.588184e-003  2.326729e-004
 8.703900e-001  3.252669e-003  2.327265e-004
 8.731430e-001  3.411309e-003  2.336978e-004
 8.758950e-001  3.214772e-003  2.302293e-004
 8.786480e-001  3.295596e-003  2.287170e-004
 8.814000e-001  3.081456e-003  2.300909e-004
 8.841530e-001  3.744000e-003  2.303266e-004
 8.869050e-001  3.307860e-003  2.305110e-004
 8.896580e-001  3.396375e-003  2.312393e-004
 8.924100e-001  3.075662e-003  2.325333e-004
 8.951630e-001  3.037096e-003  2.363951e-004
 8.979150e-001  3.220478e-003  2.365901e-004
 9.006680e-001  2.953235e-003  2.369525e-004
 9.034200e-001  3.016978e-003  2.397563e-004
 9.061730e-001  3.422750e-003  2.408981e-004
 9.089260e-001  3.015037e-003  2.402101e-004
 9.116780e-001  2.983132e-003  2.387236e-004
 9.144310e-001  2.533294e-003  2.389030e-004
 9.171830e-001  2.982015e-003  2.409802e-004
 9.199360e-001  3.378750e-003  2.409061e-004
 9.226880e-001  2.617316e-003  2.349129e-004
 9.254410e-001  3.112074e-003  2.325662e-004
 9.281930e-001  2.533235e-003  2.287673e-004
 9.309460e-001  2.783250e-003  2.284248e-004
 9.336980e-001  2.701978e-003  2.265853e-004
